image,title,desc,id,outcome
//libapps.s3.amazonaws.com/accounts/227734/images/flamethrower.jpg,Sick & Tired of Snow,"A Fargo, North Dakota, man was arrested for clearing snow with
                  a flamethrower.",1,1
//libapps.s3.amazonaws.com/accounts/227734/images/fredrogers.jpg,Mr. Rogers Rumor Neighborhood,Fred Rogers served as a sniper during the Vietnam War and had a large number of confirmed kills.,2,1
//libapps.s3.amazonaws.com/accounts/227734/images/Coronavirus.png,COVID-19,"An article from January 2020, claiming to be from a local news station in North Dakota (Valley News Live), circulated on Facebook.",3,1
//libapps.s3.amazonaws.com/accounts/227734/images/books.jpg,Why Doesn't America Read Anymore?,"On April 1, 2014, NPR posted an article to its Facebook page titled ""Why Doesn't America Read Anymore?""",4,1
//libapps.s3.amazonaws.com/accounts/227734/images/couple.jpg,Chinese Lesbian Billionaires Marry,"In 2017, a tweet about two Chinese lesbian billionaires who married and became the world's richest couple went viral on Twitter.",5,1
//libapps.s3.amazonaws.com/accounts/227734/images/Comet-pizza.jpg,Pizzagate,"In 2016, a story circulated that the Comet Ping Pong restaurant in Washington, D.C. was connected to an alleged child sex and human trafficking ring.",6,1
https://libapps.s3.amazonaws.com/accounts/227734/images/TR-Moose.jpg,Theodore Roosevelt Riding a Moose,Image of Theodore Roosevelt riding a moose.,7,1
//libapps.s3.amazonaws.com/accounts/227734/images/What_Happened.jpg,Two Sides to One Audiobook,"In September 2017, Hillary Clinton released her memoir What Happened.",8,1
//libapps.s3.amazonaws.com/accounts/227734/images/Facebook-charging-hoax.png,Facebook Hoaxes,It's official: Facebook will start charging user fees.,9,1
//libapps.s3.amazonaws.com/accounts/227734/images/Bill_Gates.jpg,Share to Get Money from Bill Gates,Share a certain post of Bill Gates on Facebook and he will send you money.,10,1
//libapps.s3.amazonaws.com/accounts/227734/images/Pope-Trump.jpg,Pope Francis Endorses Trump,"In 2016, a story circulated that Pope Francis made an unprecedented and shocking endorsement of Donald Trump for president.",11,1
//libapps.s3.amazonaws.com/accounts/227734/images/blacklivesmatter.png,Protesters Block Hurricane Rescue Efforts,"In August 2017, Hurricane Harvey hit and devastated areas of Texas and Louisiana.",12,1
//libapps.s3.amazonaws.com/accounts/227734/images/Obama_3term.jpg,Obama Seeks Third Term,President Obama shocked the country when he announced he would be running for a third term.,13,1
